Portugal,8857716,9035365,8836650,8630430,9355810,9766312,9996232,10019610,9952494,9991525,10160196,10419631,10522288,10573100,10401062,10358076
Puerto Rico,2358000,2554066,2662064,2817256,3043854,3206000,3344190,3473898,3585176,3649237,3781101,3823701,3805214,3721525,3534874,3473181
Qatar,47384,67567,93201,130534,173836,223775,341455,443794,495517,507095,550430,645659,1010382,1779676,2374419,2481539
Romania,18406905,18919126,19799831,20657957,21551634,22242653,22655940,23057662,22794284,22730211,22507344,21730496,21193760,20246871,19908979,19815481
Russian Federation,119897000,125345000,128928000,131909000,135147000,139010000,142745000,146857000,148689000,148336000,147670692,145306046,143049528,142849449,143819666,144096870
Rwanda,2933428,3161724,3527263,3983700,4499509,5140716,5881906,7030179,6701851,6005095,7059813,8536205,9206580,10246842,11345357,11629553
Samoa,108646,123354,137506,147321,152390,155557,159283,161421,165570,168788,172981,176582,181094,186205,192290,193759
San Marino,15397,17032,18589,19398,19980,21361,22455,23466,24749,25516,26799,28121,29614,31110,32657,32960
Sao Tome and Principe,64253,64212,70046,77537,84885,94949,101915,109470,118816,123973,133418,144889,159328,174776,191266,195553
Saudi Arabia,4086539,4677404,5387486,6393894,7818613,9740599,12484967,15155223,17378833,18311090,19882458,21906308,24578301,27425676,30776722,31557144
Senegal,3206749,3580312,4013539,4525114,5064674,5592646,6289327,7107976,8029725,8512173,9418393,10396861,11556763,12916229,14546111,14976994
Serbia,..,..,..,..,..,..,..,..,7646424,7734639,7567745,7496522,7411569,7291436,7130576,7095383
Seychelles,41700,46322,51134,56029,60504,63261,64717,68755,70763,74205,78846,83723,84600,89770,91359,93419
Sierra Leone,2297110,2435204,2596568,2803031,3062956,3365441,3699467,4152984,4331332,4283621,4353646,4957216,5848692,6458720,7079162,7237025
Singapore,1646400,1841600,2012000,2152400,2293300,2413945,2732221,2846108,3230698,3419048,3927213,4175950,4401365,5076732,5469724,5535002
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,31240,32566,38270,35474,37685,38824
Slovak Republic,4068095,4327341,4483915,4596622,4789507,4979815,5127097,5250596,5305016,5346331,5390516,5376912,5373054,5391428,5418649,5423801
Slovenia,1584720,1632114,1704546,1752233,1820249,1901315,1932154,1995196,1996498,1989443,1981629,1994530,2006868,2048583,2061980,2063531
Solomon Islands,117866,132782,149921,172598,200640,230607,262709,294964,329953,349225,390643,435262,481422,527790,575504,587482
Somalia,2755947,3001126,3313786,3475022,4289469,6359126,6747932,7165295,7488544,7583954,8422372,9564167,10718317,12053223,13513125,13908129
South Africa,17396367,19308166,21374931,23736489,26354140,29077143,32204952,35195598,38646788,40558495,43584030,45855482.88,48233804.48,50979432.36,54146734.74,55011976.68
South Sudan,2955152,3196113,3484537,3824762,4224529,4705224,5319609,5741235,5599814,5431738,6099923,7237276,8468152,10067192,11530971,11882136
Spain,30455000,31609195,33113134,34604469,36137812,37491165,38330364,38766939,39157685,39549108,40223509,41431558,44397319,46576897,46480882,46447697
Sri Lanka,9896000,10903000,11992000,12861000,13717000,14747000,15583000,16593000,17524000,17912000,18425000,18939000,19520000,20119000,20771000,20966000
St. Kitts and Nevis,51195,49930,46402,44326,44148,43210,42294,41047,41361,42373,44317,46641,49210,51445,53739,54288
St. Lucia,89897,94814,101179,106455,111208,117987,124468,133533,141925,145247,153183,159763,165407,172580,176421,177206
St. Martin (French part),4279,4748,5161,5756,6530,7580,12790,24873,32892,33098,30358,27450,28414,30235,31530,31754
St. Vincent and the Grenadines,80949,85069,88613,92463,96641,100505,103742,106536,108003,108129,107922,108146,108907,109315,109357,109455
Sudan,7544491,8503994,9639840,10974622,12578407,14507468,16658054,18866319,21701476,23347885,26003542,28679565,31607064,34385963,37737913,38647803
